fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Matt Dwyer,UFC Fight Night: Mir vs Duffee,"Jul. 15, 2015",Alan Jouban,Welterweight Bout,Matt Dwyer,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,51 of 104,49%,9 of 22,0 of 3,3 of 4,9 of 23,2 of 5,1 of 1,1,29 of 117,24%,7 of 26,2 of 5,0 of 1,7 of 27,1 of 2,1 of 3
Matt Dwyer,UFC Fight Night: MacDonald vs Saffiedine,"Oct. 04, 2014",Albert Tumenov,Welterweight Bout,Matt Dwyer,3 Rnd (5-5-5),1,1:03,W,L,KO/TKO,2,4 of 12,33%,4 of 12,0 of 0,0 of 0,2 of 7,0 of 0,2 of 5,0,0 of 6,0%,0 of 5,0 of 1,0 of 0,0 of 6,0 of 0,0 of 0
Matt Dwyer,UFC Fight Night: Bigfoot vs Mir,"Feb. 22, 2015",William Macario,Welterweight Bout,Matt Dwyer,3 Rnd (5-5-5),1,3:14,L,W,KO/TKO,0,8 of 20,40%,1 of 9,0 of 2,7 of 9,8 of 20,0 of 0,0 of 0,1,13 of 37,35%,10 of 26,2 of 6,1 of 5,9 of 32,0 of 0,4 of 5
Edward Faaloloto,WEC 52: Faber vs. Mizugaki,"Nov. 11, 2010",Anthony Njokuani,Lightweight Bout,Edward Faaloloto,3 Rnd (5-5-5),2,4:54,W,L,KO/TKO,1,61 of 89,68%,15 of 33,6 of 6,3 of 3,21 of 38,3 of 3,0 of 1,0,17 of 58,29%,1 of 21,1 of 2,7 of 7,6 of 27,3 of 3,0 of 0
Yan Cabral,DREAM 17,"Sep. 24, 2011",Kazushi Sakuraba,Welterweight Bout,Yan Cabral,3 Rnd (5-5-5),2,2:42,L,W,Submission,0,5 of 22,22%,1 of 7,1 of 2,2 of 5,4 of 13,0 of 1,0 of 0,0,32 of 63,50%,19 of 40,1 of 1,2 of 2,5 of 15,4 of 9,13 of 19
Sergei Kharitonov,Strikeforce - Barnett vs. Kharitonov,"Sep. 10, 2011",Josh Barnett,Heavyweight Bout,Sergei Kharitonov,3 Rnd (5-5-5),1,4:28,W,L,Submission,0,21 of 30,70%,19 of 28,1 of 1,1 of 1,7 of 9,1 of 1,13 of 20,0,9 of 23,39%,9 of 23,0 of 0,0 of 0,8 of 20,1 of 2,0 of 1
Chad Anheliger,DWCS 5.2,"Sep. 07, 2021",Muin Gafurov,Bantamweight Bout,Chad Anheliger,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,31 of 65,47%,3 of 10,2 of 3,2 of 2,2 of 10,2 of 2,3 of 3,1,47 of 78,60%,14 of 26,6 of 6,1 of 1,4 of 7,3 of 3,14 of 23
Thiago Alves,UFC 100,,Georges St-Pierre,UFC Welterweight Title Bout,Thiago Alves,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,1,59 of 128,46%,4 of 19,1 of 3,7 of 8,12 of 29,0 of 0,0 of 1,0,30 of 162,18%,1 of 23,1 of 3,6 of 9,7 of 32,0 of 2,1 of 1
Sergei Kharitonov,PRIDE Bushido 1,"Oct. 05, 2003",Sergei Kharitonov,Heavyweight Bout,Jason Suttie,2 Rnd (5-5),1,2:25,W,L,Submission,0,12 of 19,63%,12 of 19,0 of 0,0 of 0,1 of 3,0 of 0,11 of 16,0,5 of 6,83%,1 of 2,1 of 1,3 of 3,3 of 4,2 of 2,0 of 0
Hector Lombard,PRIDE Bushido 13,"Nov. 05, 2006",Gegard Mousasi,Welterweight Bout,Hector Lombard,2 Rnd (10-5),2,5:00,W,L,Decision - Unanimous,0,36 of 60,60%,10 of 24,7 of 8,0 of 1,9 of 17,4 of 9,4 of 7,0,16 of 48,33%,5 of 16,1 of 2,0 of 1,2 of 13,2 of 4,2 of 2
